Fecha,Hora,Departamento,Temperatura_C,Humedad_%,Lluvia_mm,Recomendacion_Siembra
2025-02-10,12,La Libertad,31.6,100.0,0.45,No óptima - Baja humedad o extremo temp
2025-02-10,18,San Salvador,24.0,77.0,0.55,Buena para Maíz/Frijol
2025-02-11,0,Sonsonate,26.8,81.0,5.85,Buena para Maíz/Frijol
2025-02-11,6,San Salvador,24.0,62.0,1.0,Buena para Maíz/Frijol
2025-02-11,12,La Libertad,25.3,67.0,0.45,Buena para Maíz/Frijol
2025-02-11,18,San Miguel,23.0,87.0,1.8,Buena para Maíz/Frijol
2025-02-12,0,La Libertad,23.9,96.0,0.35,No óptima - Baja humedad o extremo temp
2025-02-12,6,San Salvador,18.0,85.0,0.6,No óptima - Baja humedad o extremo temp
2025-02-12,12,Chalatenango,28.8,82.0,1.55,Buena para Maíz/Frijol
2025-02-12,18,San Miguel,27.6,92.0,4.25,No óptima - Baja humedad o extremo temp
2025-02-13,0,San Salvador,23.9,96.0,5.05,No óptima - Baja humedad o extremo temp
2025-02-13,6,San Salvador,29.9,97.0,2.65,No óptima - Baja humedad o extremo temp
2025-02-13,12,San Miguel,28.9,72.0,0.05,Buena para Maíz/Frijol
2025-02-13,18,La Libertad,29.0,94.0,0.25,No óptima - Baja humedad o extremo temp
2025-02-14,0,San Salvador,18.4,71.0,1.35,No óptima - Baja humedad o extremo temp
2025-02-14,6,Chalatenango,29.0,79.0,0.8,Buena para Maíz/Frijol
2025-02-14,12,Santa Ana,28.5,88.0,0.1,Buena para Maíz/Frijol
2025-02-14,18,Usulután,25.6,68.0,0.3,Buena para Maíz/Frijol
2025-02-15,0,San Salvador,25.4,50.0,0.55,No óptima - Baja humedad o extremo temp
2025-02-15,6,La Libertad,26.2,88.0,3.1,Buena para Maíz/Frijol
2025-02-15,12,Santa Ana,20.5,93.0,2.6,No óptima - Baja humedad o extremo temp
2025-02-15,18,Santa Ana,32.1,71.0,0.2,No óptima - Baja humedad o extremo temp
2025-02-16,0,San Salvador,24.7,68.0,2.3,Buena para Maíz/Frijol
2025-02-16,6,San Miguel,19.6,94.0,1.7,No óptima - Baja humedad o extremo temp
2025-02-16,12,San Miguel,34.8,65.0,4.75,No óptima - Baja humedad o extremo temp
2025-02-16,18,San Salvador,27.9,75.0,1.1,Buena para Maíz/Frijol
2025-02-17,0,Chalatenango,28.0,97.0,1.65,No óptima - Baja humedad o extremo temp
2025-02-17,6,San Salvador,28.3,85.0,0.0,Buena para Maíz/Frijol
2025-02-17,12,San Miguel,24.8,77.0,1.6,Buena para Maíz/Frijol
2025-02-17,18,San Salvador,25.5,50.0,3.7,No óptima - Baja humedad o extremo temp
2025-02-18,0,Santa Ana,32.0,86.0,0.8,No óptima - Baja humedad o extremo temp
2025-02-18,6,San Salvador,33.0,79.0,0.15,No óptima - Baja humedad o extremo temp
2025-02-18,12,San Salvador,31.2,90.0,0.55,No óptima - Baja humedad o extremo temp
2025-02-18,18,San Salvador,18.0,90.0,0.15,No óptima - Baja humedad o extremo temp
2025-02-19,0,San Salvador,26.0,82.0,4.15,Buena para Maíz/Frijol
2025-02-19,6,San Miguel,24.4,82.0,2.3,Buena para Maíz/Frijol
2025-02-19,12,San Salvador,26.4,84.0,1.15,Buena para Maíz/Frijol
2025-02-19,18,San Salvador,26.1,86.0,2.45,Buena para Maíz/Frijol
2025-02-20,0,San Miguel,25.5,76.0,0.2,Buena para Maíz/Frijol
2025-02-20,6,Santa Ana,22.0,84.0,3.3,Buena para Maíz/Frijol
2025-02-20,12,Usulután,22.1,76.0,2.05,Buena para Maíz/Frijol
2025-02-20,18,La Libertad,22.4,75.0,0.35,Buena para Maíz/Frijol
2025-02-21,0,San Salvador,30.6,66.0,0.1,No óptima - Baja humedad o extremo temp
2025-02-21,6,San Miguel,22.4,90.0,0.85,Buena para Maíz/Frijol
2025-02-21,12,La Libertad,23.5,66.0,1.85,Buena para Maíz/Frijol
2025-02-21,18,San Salvador,20.5,91.0,1.2,No óptima - Baja humedad o extremo temp
2025-02-22,0,Sonsonate,35.3,92.0,0.7,No óptima - Baja humedad o extremo temp
2025-02-22,6,La Libertad,25.5,71.0,0.7,Buena para Maíz/Frijol
2025-02-22,12,San Salvador,29.8,75.0,0.05,Buena para Maíz/Frijol
2025-02-22,18,Usulután,26.6,72.0,0.55,Buena para Maíz/Frijol
2025-02-23,0,Santa Ana,24.2,77.0,2.45,Buena para Maíz/Frijol
2025-02-23,6,San Salvador,28.4,83.0,0.25,Buena para Maíz/Frijol
2025-02-23,12,Usulután,25.4,75.0,0.3,Buena para Maíz/Frijol
2025-02-23,18,San Salvador,36.0,92.0,1.35,No óptima - Baja humedad o extremo temp
2025-02-24,0,San Salvador,24.3,86.0,0.1,Buena para Maíz/Frijol
2025-02-24,6,San Salvador,36.0,68.0,1.25,No óptima - Baja humedad o extremo temp
2025-02-24,12,San Salvador,27.5,65.0,3.6,Buena para Maíz/Frijol
2025-02-24,18,San Salvador,27.0,81.0,1.75,Buena para Maíz/Frijol
2025-02-25,0,La Libertad,23.1,91.0,0.7,No óptima - Baja humedad o extremo temp
2025-02-25,6,San Salvador,22.8,58.0,0.05,No óptima - Baja humedad o extremo temp
2025-02-25,12,La Libertad,26.0,61.0,0.7,Buena para Maíz/Frijol
2025-02-25,18,Santa Ana,26.5,65.0,0.9,Buena para Maíz/Frijol
2025-02-26,0,Chalatenango,31.6,70.0,0.2,No óptima - Baja humedad o extremo temp
2025-02-26,6,Chalatenango,27.5,81.0,0.9,Buena para Maíz/Frijol
2025-02-26,12,La Libertad,36.0,70.0,0.7,No óptima - Baja humedad o extremo temp
2025-02-26,18,San Salvador,28.4,77.0,0.25,Buena para Maíz/Frijol
2025-02-27,0,Santa Ana,21.9,75.0,1.5,Buena para Maíz/Frijol
2025-02-27,6,Usulután,26.9,70.0,2.2,Buena para Maíz/Frijol
2025-02-27,12,Santa Ana,22.5,92.0,0.6,No óptima - Baja humedad o extremo temp
2025-02-27,18,Sonsonate,26.4,80.0,2.3,Buena para Maíz/Frijol
2025-02-28,0,Sonsonate,35.5,78.0,1.05,No óptima - Baja humedad o extremo temp
2025-02-28,6,San Salvador,22.9,93.0,5.0,No óptima - Baja humedad o extremo temp
2025-02-28,12,San Miguel,26.6,76.0,0.7,Buena para Maíz/Frijol
2025-02-28,18,San Salvador,23.5,80.0,1.8,Buena para Maíz/Frijol
2025-03-01,0,San Miguel,28.0,74.0,1.0,Buena para Maíz/Frijol
2025-03-01,6,La Libertad,25.0,92.0,2.45,No óptima - Baja humedad o extremo temp
2025-03-01,12,Sonsonate,30.8,90.0,0.35,No óptima - Baja humedad o extremo temp
2025-03-01,18,San Salvador,24.5,69.0,0.45,Buena para Maíz/Frijol
2025-03-02,0,San Salvador,24.5,87.0,0.15,Buena para Maíz/Frijol
2025-03-02,6,San Salvador,33.8,80.0,2.0,No óptima - Baja humedad o extremo temp
2025-03-02,12,Chalatenango,28.8,79.0,1.35,Buena para Maíz/Frijol
2025-03-02,18,San Salvador,26.0,75.0,1.1,Buena para Maíz/Frijol
2025-03-03,0,Usulután,29.6,78.0,1.2,Buena para Maíz/Frijol
2025-03-03,6,Chalatenango,26.5,81.0,1.5,Buena para Maíz/Frijol
2025-03-03,12,Santa Ana,20.9,78.0,1.15,Buena para Maíz/Frijol
2025-03-03,18,La Libertad,28.5,63.0,0.95,Buena para Maíz/Frijol
2025-03-04,0,La Libertad,25.0,82.0,1.4,Buena para Maíz/Frijol
2025-03-04,6,San Miguel,31.6,87.0,0.35,No óptima - Baja humedad o extremo temp
2025-03-04,12,San Salvador,35.3,69.0,0.25,No óptima - Baja humedad o extremo temp
2025-03-04,18,La Libertad,29.1,86.0,1.95,Buena para Maíz/Frijol
2025-03-05,0,San Salvador,25.2,80.0,1.1,Buena para Maíz/Frijol
2025-03-05,6,San Salvador,23.7,89.0,0.5,Buena para Maíz/Frijol
2025-03-05,12,San Salvador,23.1,66.0,0.3,Buena para Maíz/Frijol
2025-03-05,18,Santa Ana,24.5,67.0,1.05,Buena para Maíz/Frijol
2025-03-06,0,Santa Ana,28.3,66.0,1.45,Buena para Maíz/Frijol
2025-03-06,6,La Libertad,27.3,88.0,0.95,Buena para Maíz/Frijol
2025-03-06,12,Chalatenango,29.1,100.0,2.0,No óptima - Baja humedad o extremo temp
2025-03-06,18,San Salvador,30.5,79.0,3.0,No óptima - Baja humedad o extremo temp
2025-03-07,0,Santa Ana,25.4,83.0,0.5,Buena para Maíz/Frijol
2025-03-07,6,San Miguel,23.1,70.0,0.15,Buena para Maíz/Frijol
2025-03-07,12,Chalatenango,24.9,72.0,0.8,Buena para Maíz/Frijol
2025-03-07,18,San Salvador,21.7,86.0,3.75,Buena para Maíz/Frijol
2025-03-08,0,San Salvador,23.8,100.0,1.1,No óptima - Baja humedad o extremo temp
2025-03-08,6,La Libertad,26.4,54.0,1.05,No óptima - Baja humedad o extremo temp
2025-03-08,12,Usulután,31.7,76.0,2.95,No óptima - Baja humedad o extremo temp
2025-03-08,18,Usulután,23.2,72.0,0.45,Buena para Maíz/Frijol
2025-03-09,0,Usulután,30.1,87.0,0.05,No óptima - Baja humedad o extremo temp
2025-03-09,6,Sonsonate,32.0,80.0,1.1,No óptima - Baja humedad o extremo temp
2025-03-09,12,Chalatenango,21.8,80.0,0.7,Buena para Maíz/Frijol
2025-03-09,18,Chalatenango,23.9,76.0,1.15,Buena para Maíz/Frijol
2025-03-10,0,San Salvador,20.7,81.0,0.6,Buena para Maíz/Frijol
2025-03-10,6,Chalatenango,26.7,83.0,5.95,Buena para Maíz/Frijol
2025-03-10,12,La Libertad,27.1,96.0,2.9,No óptima - Baja humedad o extremo temp
2025-03-10,18,San Salvador,27.8,84.0,1.15,Buena para Maíz/Frijol
2025-03-11,0,San Salvador,30.0,59.0,2.05,No óptima - Baja humedad o extremo temp
2025-03-11,6,Santa Ana,18.7,99.0,1.6,No óptima - Baja humedad o extremo temp
2025-03-11,12,Chalatenango,25.0,66.0,1.55,Buena para Maíz/Frijol
2025-03-11,18,La Libertad,24.9,78.0,0.8,Buena para Maíz/Frijol
2025-03-12,0,Santa Ana,22.3,75.0,0.6,Buena para Maíz/Frijol
2025-03-12,6,San Miguel,32.1,63.0,0.5,No óptima - Baja humedad o extremo temp
2025-03-12,12,San Miguel,18.4,82.0,0.0,No óptima - Baja humedad o extremo temp
2025-03-12,18,La Libertad,25.6,59.0,0.35,No óptima - Baja humedad o extremo temp
2025-03-13,0,San Salvador,31.4,89.0,1.0,No óptima - Baja humedad o extremo temp
2025-03-13,6,Chalatenango,27.3,74.0,1.1,Buena para Maíz/Frijol
2025-03-13,12,Chalatenango,36.0,63.0,4.1,No óptima - Baja humedad o extremo temp
2025-03-13,18,Santa Ana,29.6,88.0,0.1,Buena para Maíz/Frijol
2025-03-14,0,San Salvador,21.0,74.0,0.2,Buena para Maíz/Frijol
2025-03-14,6,Sonsonate,27.7,66.0,3.65,Buena para Maíz/Frijol
2025-03-14,12,San Salvador,23.8,86.0,0.2,Buena para Maíz/Frijol
2025-03-14,18,La Libertad,32.9,82.0,1.0,No óptima - Baja humedad o extremo temp
2025-03-15,0,San Salvador,30.9,72.0,0.5,No óptima - Baja humedad o extremo temp
2025-03-15,6,Santa Ana,27.5,62.0,0.9,Buena para Maíz/Frijol
2025-03-15,12,Santa Ana,28.8,72.0,1.1,Buena para Maíz/Frijol
2025-03-15,18,Usulután,28.5,97.0,0.45,No óptima - Baja humedad o extremo temp
2025-03-16,0,La Libertad,24.8,78.0,5.6,Buena para Maíz/Frijol
2025-03-16,6,Usulután,31.8,82.0,1.15,No óptima - Baja humedad o extremo temp
2025-03-16,12,San Salvador,25.9,89.0,1.4,Buena para Maíz/Frijol
2025-03-16,18,Santa Ana,22.7,73.0,0.0,Buena para Maíz/Frijol
2025-03-17,0,San Salvador,27.1,68.0,0.8,Buena para Maíz/Frijol
2025-03-17,6,San Salvador,26.3,90.0,1.35,Buena para Maíz/Frijol
2025-03-17,12,Santa Ana,23.4,72.0,0.75,Buena para Maíz/Frijol
2025-03-17,18,Sonsonate,28.8,73.0,0.3,Buena para Maíz/Frijol
2025-03-18,0,San Salvador,25.5,87.0,0.85,Buena para Maíz/Frijol
2025-03-18,6,La Libertad,24.6,81.0,2.0,Buena para Maíz/Frijol
2025-03-18,12,La Libertad,31.9,71.0,0.35,No óptima - Baja humedad o extremo temp
2025-03-18,18,Santa Ana,23.2,72.0,0.4,Buena para Maíz/Frijol
2025-03-19,0,Santa Ana,25.9,84.0,0.55,Buena para Maíz/Frijol
2025-03-19,6,La Libertad,18.7,87.0,0.6,No óptima - Baja humedad o extremo temp
2025-03-19,12,Santa Ana,25.2,75.0,0.25,Buena para Maíz/Frijol
2025-03-19,18,San Miguel,26.1,80.0,2.2,Buena para Maíz/Frijol
2025-03-20,0,Usulután,23.5,79.0,0.25,Buena para Maíz/Frijol
2025-03-20,6,San Salvador,26.5,88.0,2.1,Buena para Maíz/Frijol
2025-03-20,12,San Salvador,21.1,73.0,4.8,Buena para Maíz/Frijol
2025-03-20,18,San Salvador,18.0,71.0,1.1,No óptima - Baja humedad o extremo temp
2025-03-21,0,San Miguel,34.2,78.0,3.4,No óptima - Baja humedad o extremo temp
2025-03-21,6,Sonsonate,21.3,95.0,5.95,No óptima - Baja humedad o extremo temp
2025-03-21,12,Sonsonate,24.8,86.0,1.35,Buena para Maíz/Frijol
2025-03-21,18,La Libertad,25.9,94.0,2.45,No óptima - Baja humedad o extremo temp
2025-03-22,0,San Salvador,26.1,81.0,0.15,Buena para Maíz/Frijol
2025-03-22,6,La Libertad,24.5,83.0,0.3,Buena para Maíz/Frijol
2025-03-22,12,Usulután,26.0,74.0,0.9,Buena para Maíz/Frijol
2025-03-22,18,Chalatenango,34.4,87.0,4.25,No óptima - Baja humedad o extremo temp
2025-03-23,0,Sonsonate,24.4,85.0,2.15,Buena para Maíz/Frijol
